financebench_id,mode,question_type,provider,model,temperature,template_alias,question,gold_answer,generated_answer,refusal_detected,refusal_confidence,llm_graded_score,llm_graded_facts_present,llm_graded_facts_missing,nem_match,nem_gold_num,nem_gen_num,nem_relative_error,nem_error_category,llm_binary_match,llm_binary_gold_num,llm_binary_gen_num,llm_binary_relative_error,llm_binary_error_category,token_f1,token_precision,token_recall,token_gold_count,token_gen_count,token_common_count
financebench_id_00917,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metri...,The decrease in AMD's operating income was primari...,Operating margin change for AMD in FY22 was driven...,False,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01279,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...","In 2022, AMD brought in the most cashflow from Ope...",Operating activities brought in the most cash flow...,False,1.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00476,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Which debt securities are registered to trade on a national securities exchange under American Expre...,There are none,American Express had various corporate bonds and s...,False,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
financebench_id_01028,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What are the geographies that American Express primarily operates in as of 2022?,"United States, EMEA, APAC, and LACC",American Express primarily operates in North Ameri...,False,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00723,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful...,Performance is not measured through operating marg...,"Yes, AMEX has an improving operating margin profil...",False,1.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00720,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove gross margin change as of the FY2022 for American Express? If gross margin is not a usefu...,Performance is not measured through gross margin,Gross margin is not a useful metric for American E...,False,1.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01351,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,The effective tax rate for American Express has ch...,The effective tax rate of American Express decreas...,False,1.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00070,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does American Water Works have positive working capital based on FY2022 data? If working capital is ...,"No, American Water Works had negative working capi...",Working capital may not be a relevant metric for A...,False,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,
financebench_id_00685,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year...,"Yes, the margins have been consistent, there has b...","No, Best Buy's gross margins are not historically ...",False,1.0,0.0,5.0,4.0,,,,,,,,,,,,,,,,
financebench_id_01077,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Best Buy closed two acquisitions, both these compa...",FY2021: Geek Squad; FY2022: Current Health; FY2023...,False,1.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01275,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...",Best Buy generated the most cash flow from operati...,Operating activities brought in the most cash flow...,False,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00517,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are there any product categories / service categories that represent more than 20% of Boeing's reven...,Yes. Boeing has product and service categories tha...,"Yes, the Commercial Airplanes segment represents m...",False,1.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,
financebench_id_01091,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Boeing reported any materially important ongoing legal battles from FY2022?,Yes. Multiple lawsuits have been filed against Boe...,"Yes, Boeing reported materially important ongoing ...",False,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00678,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful met...,Yes. Boeing has an improving gross margin profile ...,"Yes, Boeing has an improving gross margin profile ...",False,1.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01290,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Who are the primary customers of Boeing as of FY2022?,Boeing's primary customers as of FY2022 are a limi...,Boeing's primary customers as of FY2022 are commer...,False,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01346,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,The effective tax rate of Corning has changed from...,The effective tax rate of Corning changed by X per...,False,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00005,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Corning have positive working capital based on FY2022 data? If working capital is not a useful ...,Yes. Corning had a positive working capital amount...,"Yes, Corning has positive working capital based on...",False,1.0,2.0,3.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00790,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Is CVS Health a capital-intensive business based on FY2022 data?,"Yes, CVS Health requires an extensive asset base t...","Yes, CVS Health is a capital-intensive business ba...",False,1.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01107,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Has CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020?","Yes, CVS Health has been involved in multiple ongo...","Yes, CVS Health has reported materially important ...",False,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01244,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,"Yes, CVS paid a $ 0.55 dividend per share every qu...","Yes, CVS Health paid dividends to common sharehold...",False,1.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00956,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are JnJ's FY2022 financials that of a high growth company?,"No, JnJ's FY2022 financials are not of a high grow...","No, JnJ's FY2022 financials do not reflect those o...",False,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00669,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a co...,"For FY22, JnJ had changes in gross margin due to: ...",Gross margin change for JnJ in FY2022 was driven b...,False,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00711,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Roughly how many times has JnJ sold its inventory in FY2022? Calculate inventory turnover ratio for ...,JnJ sold its inventory 2.7 times in FY2022.,5.25 times,False,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00206,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If...,"Since JPM is a financial institution, gross margin...",Gross margins are not a relevant metric for JPMorg...,False,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01254,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has MGM Resorts paid dividends to common shareholders in FY2022?,Yes. MGM maintained 0.01$ per share annual dividen...,"No, MGM Resorts did not pay dividends to common sh...",False,1.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00552,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Microsoft increased its debt on balance sheet between FY2023 and the FY2022 period?,No. Microsoft decreased its debt by $2.5bn in FY 2...,"Yes, Microsoft has increased its debt on the balan...",False,1.0,0.0,6.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01163,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...","Among the three, cash flow from operations was the...",Operating activities brought in the most cash flow...,False,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00080,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful o...,Yes. Paypal has a positive working capital of $ 1....,"Yes, PayPal has positive working capital based on ...",False,1.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01009,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What are the geographies that Pepsico primarily operates in as of FY2022?,"As of FY2022, Pepsico primarily operates in the fo...","North America, Latin America, Europe, Asia, Middle...",False,1.0,2.0,5.0,6.0,,,,,,,,,,,,,,,,
financebench_id_00735,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Pepsico reported any materially important ongoing legal battles from FY2022 and FY2021?,"No, Pepsico is not involved in material legal batt...","Yes, PepsiCo reported ongoing legal battles in FY2...",False,1.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,
financebench_id_01328,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What is the quantity of restructuring costs directly outlined in Pepsico's income statements for FY2...,Pepsico's restructuring costs in FY2022 amounted t...,0,False,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,
financebench_id_00746,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's ...,There are none,Ulta Beauty has senior unsecured notes registered ...,False,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00521,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,Ulta Beauty did not make any acquisitions in FY202...,"In FY2022, Ulta Beauty acquired Dermalogica; in FY...",False,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00216,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Verizon have a reasonably healthy liquidity profile based on its quick ratio for FY 2022? If th...,No. The quick ratio was approximately 0.54 for Ver...,The quick ratio is relevant for assessing Verizon'...,False,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00215,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Is Verizon a capital intensive business based on FY 2022 data?,Yes. Verizon's capital intensity ratio was approxi...,"Yes, Verizon is a capital-intensive business based...",False,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00566,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has Verizon increased its debt on balance sheet between 2022 and the 2021 fiscal period?,No. Verizon's debt decreased by $229 million.,"Yes, Verizon has increased its debt on the balance...",False,1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00499,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Is 3M a capital-intensive business based on FY2022 data?,"No, the company is managing its CAPEX and Fixed As...","Yes, 3M is a capital-intensive business based on F...",False,1.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01226,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric f...,Operating Margin for 3M in FY2022 has decreased by...,The increase in SG&A due to significant special it...,False,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00807,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If th...,No. The quick ratio for 3M was 0.96 by Jun'23 clos...,"No, 3M does not have a reasonably healthy liquidit...",False,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00941,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Which debt securities are registered to trade on a national securities exchange under 3M's name as o...,Following debt securities registered under 3M's na...,"1.500% Notes due 2026, 1.750% Notes due 2030, 1.50...",False,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00438,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a use...,No the operating margins of Adobe have recently de...,"No, Adobe does not have an improving operating mar...",False,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01319,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements...,0,0,False,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00540,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnove...,AES has converted inventory 9.5 times in FY 2022.,AES Corporation sold its inventory roughly 12 time...,False,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00799,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not so...,The quick ratio has slightly improved from 0.67 ti...,AMCOR's quick ratio has improved from FY2022 to FY...,False,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01079,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?","Amcor completed these acquisitions during FY2023:
...",FY2022: Czech Republic company ($59 million); FY20...,False,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,
financebench_id_01148,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What industry does AMCOR primarily operate in?,Amcor is a global leader in packaging production f...,AMCOR primarily operates in the packaging industry...,False,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00684,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metr...,No. For AMCOR there has been a slight decline in g...,"No, Amcor does not have an improving gross margin ...",False,1.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00222,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick...,"Yes. The quick ratio is 1.57, calculated as (cash ...","Yes, AMD has a reasonably healthy liquidity profil...",False,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00995,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What are the major products and services that AMD sells as of FY22?,AMD sells server microprocessors (CPUs) and graphi...,AMD's major products and services as of FY22 inclu...,False,1.0,3.0,8.0,7.0,,,,,,,,,,,,,,,,
financebench_id_01198,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What drove revenue change as of the FY22 for AMD?,"In 2022, AMD reported Higher sales of their EPYC s...",Revenue change for AMD in FY22 was driven by a 64%...,False,1.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00917,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metri...,The decrease in AMD's operating income was primari...,The decrease in operating margin for FY22 was prim...,False,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01279,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...","In 2022, AMD brought in the most cashflow from Ope...",Operating activities brought in the most cash flow...,False,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00476,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Which debt securities are registered to trade on a national securities exchange under American Expre...,There are none,No debt securities are registered to trade on a na...,False,1.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01028,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What are the geographies that American Express primarily operates in as of 2022?,"United States, EMEA, APAC, and LACC",American Express primarily operates in the United ...,False,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00723,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful...,Performance is not measured through operating marg...,AMEX has a marginal improvement in operating margi...,False,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00720,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What drove gross margin change as of the FY2022 for American Express? If gross margin is not a usefu...,Performance is not measured through gross margin,Gross margin is not a useful metric for American E...,False,1.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01351,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,The effective tax rate for American Express has ch...,The effective tax rate decreased by 3.0 percentage...,False,1.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00070,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does American Water Works have positive working capital based on FY2022 data? If working capital is ...,"No, American Water Works had negative working capi...","No, American Water Works does not have positive wo...",False,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00685,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year...,"Yes, the margins have been consistent, there has b...","No, Best Buy's gross margins are not historically ...",False,1.0,0.0,6.0,7.0,,,,,,,,,,,,,,,,
financebench_id_01077,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Best Buy closed two acquisitions, both these compa...","In FY2022, Best Buy acquired Current Health Ltd. a...",False,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01275,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,"Among operations, investing, and financing activities, which brought in the most (or lost the least)...",Best Buy generated the most cash flow from operati...,Operating activities brought in the most cash flow...,False,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00517,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Are there any product categories / service categories that represent more than 20% of Boeing's reven...,Yes. Boeing has product and service categories tha...,"Yes, Commercial Airplanes, Defense, Space & Securi...",False,1.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01091,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Has Boeing reported any materially important ongoing legal battles from FY2022?,Yes. Multiple lawsuits have been filed against Boe...,"No, the evidence does not indicate any materially ...",False,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,
financebench_id_00678,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful met...,Yes. Boeing has an improving gross margin profile ...,"No, Boeing does not have an improving gross margin...",False,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,
financebench_id_01290,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Who are the primary customers of Boeing as of FY2022?,Boeing's primary customers as of FY2022 are a limi...,The primary customers of Boeing as of FY2022 are c...,False,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01346,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,The effective tax rate of Corning has changed from...,The effective tax rate increased by 3 percentage p...,False,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00005,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Does Corning have positive working capital based on FY2022 data? If working capital is not a useful ...,Yes. Corning had a positive working capital amount...,"Yes, Corning has positive working capital of $2,27...",False,1.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00790,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Is CVS Health a capital-intensive business based on FY2022 data?,"Yes, CVS Health requires an extensive asset base t...","Yes, CVS Health is a capital-intensive business ba...",False,1.0,1.0,3.0,5.0,,,,,,,,,,,,,,,,
financebench_id_01107,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,"Has CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020?","Yes, CVS Health has been involved in multiple ongo...","Yes, CVS Health has reported materially important ...",False,1.0,1.0,5.0,6.0,,,,,,,,,,,,,,,,
financebench_id_01244,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,"Yes, CVS paid a $ 0.55 dividend per share every qu...","Yes, CVS Health paid dividends to common sharehold...",False,1.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00956,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Are JnJ's FY2022 financials that of a high growth company?,"No, JnJ's FY2022 financials are not of a high grow...","No, JnJ's FY2022 financials do not reflect those o...",False,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,
financebench_id_00669,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a co...,"For FY22, JnJ had changes in gross margin due to: ...",The decline in gross margin for JnJ in FY2022 was ...,False,1.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00711,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Roughly how many times has JnJ sold its inventory in FY2022? Calculate inventory turnover ratio for ...,JnJ sold its inventory 2.7 times in FY2022.,JnJ sold its inventory roughly 2.72 times in FY202...,False,1.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00206,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If...,"Since JPM is a financial institution, gross margin...",Gross margins are not a relevant metric for JPMorg...,False,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
financebench_id_01254,oracle,domain-relevant,openai,gpt-4o-mini,0.0,domain_rag_basic,Has MGM Resorts paid dividends to common shareholders in FY2022?,Yes. MGM maintained 0.01$ per share annual dividen...,"Yes, MGM Resorts paid dividends to common sharehol...",False,1.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,
